SER_NUM	FROM_FIRST_TIME	BEFORE_US	TOT_MATCHED	BEFORE_US_PROMILE	MATCHED_FLG
1	0	44	11426	3.9	0
2	133	49	11498	4.3	0
3	176	26	11502	2.3	0
1	0	38	5302	7.2	0
2	20	41	5302	7.7	0
3	72	41	5302	7.7	0
4	151	41	5302	7.7	0
5	162	43	5302	8.1	0
6	172	41	5302	7.7	0
7	212	28	5302	5.3	0
8	273	41	5368	7.6	0
1	0	43	5195	8.3	0
2	114	43	5195	8.3	0
3	244	28	5229	5.4	0
4	277	43	5234	8.2	0
5	317	13	5362	2.4	0
6	327	20	5432	3.7	0
7	387	28	5462	5.1	0
1	0	6	6885	0.9	0
2	181	41	6945	5.9	0
3	242	47	7170	6.6	0
4	272	41	7170	5.7	0
1	0	34	9548	3.6	0
2	94	22	9569	2.3	0
3	125	41	9569	4.3	0
4	165	41	9573	4.3	0
5	185	39	9578	4.1	0
6	226	28	9578	2.9	0
1	0	41	4233	9.7	0
2	55	22	4233	5.2	0
3	76	38	4233	9.0	0
4	96	41	4233	9.7	0
5	158	41	4253	9.6	0
6	168	15	4253	3.5	0
7	249	15	4253	3.5	0
8	269	41	4253	9.6	0
1	0	41	3221	12.7	0
1	0	38	69047	0.6	1
2	51	41	69297	0.6	0
3	192	43	70566	0.6	0
4	202	36	70668	0.5	0
5	272	43	71971	0.6	0
1	0	41	4690	8.7	0
2	67	31	4691	6.6	0
3	110	41	4691	8.7	0
4	184	41	4691	8.7	0
5	237	15	4691	3.2	0
6	321	43	4691	9.2	0
1	0	13	24432	0.5	0
2	10	20	24462	0.8	0
3	51	41	24990	1.6	0
4	114	42	25040	1.7	0
5	245	47	25144	1.9	0
1	0	41	5405	7.6	1
1	0	26	4688	5.5	0
2	10	15	4688	3.2	0
3	211	50	4884	10.2	0
1	0	40	9947	4.0	0
2	10	41	9947	4.1	0
3	40	26	9947	2.6	0
4	70	26	9951	2.6	0
5	120	41	10003	4.1	0
6	161	33	10024	3.3	0
7	192	15	10024	1.5	0
8	233	43	10024	4.3	0
1	0	41	3042	13.5	0
2	10	15	3042	4.9	0
3	60	41	3042	13.5	0
4	121	45	3042	14.8	0
5	181	41	3050	13.4	0
6	384	15	3050	4.9	0
7	424	41	3050	13.4	0
1	0	38	14885	2.6	0
2	101	32	14933	2.1	0
3	152	30	15296	2.0	0
4	163	41	15296	2.7	0
1	0	30	8756	3.4	0
2	10	26	8763	3.0	0
3	40	15	8791	1.7	0
4	212	22	11630	1.9	0
5	323	31	14556	2.1	1
1	0	22	87952	0.3	0
2	51	41	92088	0.4	0
3	113	33	96790	0.3	0
4	184	41	98212	0.4	1
5	215	41	99096	0.4	1
1	0	22	19509	1.1	0
2	101	35	19531	1.8	0
3	119	41	19564	2.1	0
4	251	41	19564	2.1	0
5	335	41	19623	2.1	0
6	406	42	19670	2.1	0
1	0	30	7889	3.8	0
2	43	26	7971	3.3	0
3	282	24	8053	3.0	0
1	0	41	7794	5.3	0
2	226	41	7866	5.2	0
1	0	41	4637	8.8	0
1	0	15	77011	0.2	0
2	66	15	77061	0.2	0
3	166	40	77422	0.5	0
1	0	11	6856	1.6	0
2	97	22	6878	3.2	0
3	137	41	6878	6.0	0
1	0	21	138702	0.2	0
2	43	17	139862	0.1	0
3	70	24	140784	0.2	0
1	0	41	11068	3.7	0
1	0	41	13514	3.0	0
1	0	41	80590	0.5	0
1	0	30	3747	8.0	0
1	0	19	4380	4.3	0
2	212	45	4425	10.2	0
1	0	43	6384	6.7	1
2	354	22	6388	3.4	0
1	0	29	25101	1.2	0
2	21	40	25196	1.6	0
1	0	41	8941	4.6	1
2	283	28	9805	2.9	0
1	0	19	5555	3.4	0
2	13	30	5575	5.4	0
3	36	31	5575	5.6	0
4	119	35	5744	6.1	0
5	182	48	5744	8.4	0
6	203	41	5744	7.1	0
1	0	21	18979	1.1	1
2	112	23	19564	1.2	0
3	122	45	19610	2.3	0
4	174	40	19678	2.0	0
1	0	41	3090	13.3	1
2	154	22	3444	6.4	0
1	0	41	3639	11.3	0
2	31	32	3639	8.8	0
3	87	32	3639	8.8	0
4	146	40	3639	11.0	0
5	169	29	3639	8.0	1
6	226	30	3664	8.2	1
7	383	15	3925	3.8	0
8	419	41	3925	10.4	0
1	0	5	7222	0.7	0
2	36	38	7232	5.3	0
3	72	41	7232	5.7	0
4	129	20	7247	2.8	0
5	196	15	7251	2.1	0
1	0	40	78641	0.5	0
2	68	45	79720	0.6	0
3	137	22	79771	0.3	0
4	159	19	79802	0.2	0
5	185	43	80216	0.5	0
6	239	17	80233	0.2	0
7	271	24	80258	0.3	0
8	281	46	80268	0.6	0
1	0	6	4520	1.3	0
2	81	15	4601	3.3	0
3	102	41	4601	8.9	0
1	0	24	15927	1.5	0
2	40	22	15987	1.4	0
3	60	22	15987	1.4	1
4	161	26	16098	1.6	1
5	233	15	16353	0.9	0
6	254	15	16353	0.9	0
7	265	40	16449	2.4	1
1	0	35	26430	1.3	0
1	0	27	5907	4.6	0
1	0	41	5387	7.6	1
2	442	39	6156	6.3	0
1	0	30	22882	1.3	1
1	0	41	5466	7.5	0
2	31	22	5466	4.0	0
3	111	41	5518	7.4	0
4	131	4	5522	0.7	0
5	244	22	5610	3.9	0
1	0	36	7362	4.9	0
2	10	15	7362	2.0	0
3	40	22	7406	3.0	0
4	90	42	7516	5.6	0
5	162	36	7516	4.8	0
1	0	41	4561	9.0	0
2	83	27	4561	5.9	0
3	93	27	4561	5.9	0
4	237	41	4623	8.9	0
1	0	43	14608	2.9	1
2	31	43	15111	2.8	0
3	126	15	15436	1.0	0
1	0	12	7921	1.5	0
2	11	12	7921	1.5	0
3	62	22	7945	2.8	0
4	74	41	7945	5.2	0
5	138	38	7946	4.8	0
6	168	15	7949	1.9	0
7	200	15	7971	1.9	0
8	218	15	7971	1.9	0
9	269	41	8069	5.1	0
1	0	41	15610	2.6	0
2	52	38	15650	2.4	0
3	62	41	15650	2.6	0
4	93	38	15650	2.4	0
5	149	38	15650	2.4	0
6	170	41	15650	2.6	0
7	191	38	15650	2.4	0
8	212	38	15650	2.4	0
9	224	41	15650	2.6	0
10	248	23	15650	1.5	0
11	268	38	15650	2.4	0
12	352	41	15650	2.6	0
1	0	37	8108	4.6	0
2	53	15	8114	1.8	0
3	116	38	8120	4.7	0
4	138	41	8120	5.0	0
